counter;index;instructionType;totalChars;OperationType 
0;0;original;1673 
1;0;ThrowStatement;1599;m 
1;4;ExpressionStatement;1673;m 
1;7;IfStatement;1552;m 
1;0;ThrowStatement;1478;m 
1;3;Property;1468;m 
3;4;Literal;1457;m 
7;0;ExpressionStatement;1444;m 
43;16;ExpressionStatement;1381;m 
43;3;Property;1371;m 
