counter;index;instructionType;totalChars;OperationType 
0;0;original;1861 
1;13;BinaryExpression;1860;m 
1;12;ReturnStatement;1844;m 
1;4;ExpressionStatement;1789;m 
1;7;IfStatement;1819;m 
1;0;BinaryExpression;1778;c 
1;0;ReturnStatement;1752;c 
1;0;ExpressionStatement;1747;c 
1;0;BinaryExpression;1746;c 
1;0;ExpressionStatement;1707;c 
2;0;BinaryExpression;1706;c 
2;0;ReturnStatement;1639;c 
5;20;ExpressionStatement;1610;m 
23;36;Literal;1591;m 
27;19;ReturnStatement;1553;m 
35;9;ReturnStatement;1552;m 
42;0;ReturnStatement;1513;m 
79;0;ReturnStatement;1504;c 
83;0;BinaryExpression;1493;c 
93;0;IfStatement;1493;c 
