counter;index;instructionType;totalChars;OperationType 
0;0;original;1861 
1;9;IfStatement;1854;m 
1;8;IfStatement;1844;m 
1;2;FunctionExpression;1807;m 
1;0;ReturnStatement;1795;c 
1;0;IfStatement;1790;c 
1;0;IfStatement;1783;c 
1;2;ExpressionStatement;1765;m 
3;0;ReturnStatement;1753;c 
3;0;ExpressionStatement;1747;c 
28;0;ReturnStatement;1678;c 
31;3;IfStatement;1717;m 
33;0;IfStatement;1663;c 
35;0;ReturnStatement;1594;c 
40;10;ReturnStatement;1572;m 
51;31;BinaryExpression;1534;m 
60;0;ExpressionStatement;1521;m 
74;20;ExpressionStatement;1492;m 
