nomeBiblioteca	AssignmentExpression	ArrayExpression	BlockStatement	BinaryExpression	BreakStatement	CallExpression	CatchClause	ConditionalExpression	ContinueStatement	DoWhileStatement	DebuggerStatement	EmptyStatement	ExpressionStatement	ForStatement	ForInStatement	FunctionDeclaration	FunctionExpression	Identifier	IfStatement	Literal	LabeledStatement	LogicalExpression	MemberExpression	NewExpression	ObjectExpression	Property	ReturnStatement	SequenceExpression	SwitchStatement	SwitchCase	ThisExpression	ThrowStatement	TryStatement	UnaryExpression	UpdateExpression	VariableDeclaration	VariableDeclarator	WhileStatement	WithStatement	ArrayPattern	ObjectPattern	ArrowFunctionExpression	ClassExpression	TaggedTemplateExpression	Super	YieldExpression	AssignmentPattern	RestElement	MethodDefinition	TemplateElement	TemplateLiteral	SpreadElement	ForOfStatement
ah-opbeat-plugin	6	0	10	2	0	14	0	0	0	0	0	0	18	0	0	0	9	83	1	15	0	0	37	0	3	4	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aws-sdk-q	0	0	4	0	0	8	0	0	0	0	0	0	6	0	0	0	4	30	1	3	0	0	13	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b-ioc	17	6	68	5	0	99	1	0	0	0	0	0	76	0	0	9	40	410	14	75	0	7	135	19	6	4	20	0	0	0	14	8	1	7	0	15	15	0	0	0	0	1	0	0	0	0	0	0	0	19	9	0	0
blake2s-js	1195	4	33	2503	1	23	0	1	0	0	0	0	1196	12	1	4	7	3541	21	1798	0	4	221	22	0	0	9	0	1	4	70	9	0	7	13	34	67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3-box	19	11	35	13	0	201	0	6	0	0	0	0	38	0	0	3	32	511	8	175	0	8	231	0	0	0	41	0	0	0	5	0	0	9	0	15	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3-metatable	8	2	36	10	2	125	0	2	0	0	0	0	44	0	0	11	18	381	8	77	0	4	139	0	6	9	15	0	1	2	7	0	0	1	0	29	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ember-cli-backstretch	7	0	15	4	0	27	0	0	0	0	0	0	19	0	0	1	11	90	3	20	0	0	38	1	7	7	5	0	0	0	10	0	0	0	0	4	4	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
epiphany	71	20	110	49	0	240	1	9	0	0	0	0	158	0	1	4	66	1216	59	154	0	25	448	10	29	34	35	0	0	0	41	6	1	24	0	29	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glossary-panel	549	71	653	401	1	880	1	57	3	0	0	1	832	60	8	23	350	6178	265	918	0	174	1963	20	77	140	317	4	2	9	333	6	1	156	78	365	491	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gridsize	2	0	11	3	0	29	0	1	0	0	0	0	23	0	0	0	7	108	2	31	0	1	48	0	2	4	2	0	0	0	0	0	0	1	2	9	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grunt-osslsigncode	0	13	27	55	0	59	0	5	0	0	0	0	43	0	0	0	12	280	12	120	0	3	78	1	17	44	0	0	0	0	2	1	0	5	1	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jade-react-compiler-x	205	50	323	189	13	449	0	8	4	0	0	0	308	5	4	14	225	2675	105	682	0	149	934	20	86	277	203	6	7	25	264	23	0	44	6	82	87	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jojen	108	14	381	127	0	283	2	9	3	0	0	0	173	20	0	10	216	1926	97	304	0	50	698	21	47	69	241	0	0	0	217	8	2	62	25	110	111	1	0	0	0	44	0	0	2	0	3	3	0	22	9	0	0
jpeg-recompress-bin	0	2	9	1	0	18	0	0	0	0	0	0	14	0	0	0	8	55	1	10	0	0	9	0	0	0	1	0	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jumpstart-ionicv1-tabs	82	43	200	59	0	461	3	7	0	0	0	0	328	0	0	102	80	1889	19	572	0	11	519	10	144	263	51	0	1	1	14	5	3	10	0	81	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nblas-plus	198	96	147	58	0	483	0	69	0	0	0	0	413	2	0	1	144	3291	9	1084	0	85	631	144	8	34	66	0	0	0	0	1	0	122	2	171	184	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
nxfilter	20	24	110	38	1	186	1	1	2	0	0	0	152	0	2	7	68	735	23	223	0	5	296	6	7	9	30	0	1	3	3	5	1	9	0	42	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
react-dropzone-component	2515	226	3761	2617	73	4399	39	552	34	2	0	0	3795	184	74	379	1151	32705	1619	7294	1	897	9137	98	794	2594	1250	106	20	239	1519	40	48	983	203	2229	2833	40	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
redwrap	29	0	43	13	0	49	2	8	0	0	0	0	56	0	0	0	30	337	7	48	0	5	115	5	9	14	17	0	0	0	33	1	2	3	0	12	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s3-cat	9	0	16	10	0	28	0	0	0	0	0	0	26	2	0	1	13	124	4	21	0	1	24	2	2	1	3	0	0	0	7	0	0	0	2	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shellshim	5	1	4	1	0	3	0	0	0	0	0	0	6	1	0	0	3	29	0	3	0	0	8	0	2	3	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
url-safe	1	0	3	0	0	21	0	0	0	0	0	0	12	0	0	0	3	45	0	20	0	1	15	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x51	6	2	27	3	0	109	1	0	0	0	0	0	66	0	0	4	15	322	6	58	0	5	124	3	20	13	3	0	0	0	0	1	1	2	0	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x_x	1	0	4	4	0	12	0	0	0	0	0	0	7	0	0	2	2	44	0	6	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@fcompose-redux-ware	1	0	9	1	0	12	0	0	0	0	0	0	1	0	0	4	5	53	0	3	0	1	8	0	1	1	9	0	0	0	0	0	0	1	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	15	3	58	13	0	83	0	0	0	0	0	0	85	1	1	2	43	312	8	57	0	0	100	8	1	3	5	0	0	0	41	1	0	3	1	13	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bonmot	259	13	410	261	2	775	6	35	0	0	0	0	659	5	2	0	195	3496	166	720	0	49	1564	73	126	233	40	0	2	14	545	24	6	108	5	91	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
destruct	24	1	8	14	7	16	0	2	1	0	0	0	25	3	0	0	3	141	7	31	0	3	29	0	2	0	2	1	1	11	0	2	0	4	3	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
disemvowel	3	0	4	0	0	14	0	0	0	0	0	0	4	0	0	0	4	31	0	5	0	0	13	0	1	1	2	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dropline	3	3	3	15	0	117	0	1	0	0	0	0	27	0	0	2	1	283	0	140	0	0	142	0	1	4	1	0	0	0	1	0	0	2	0	17	17	0	0	0	0	9	0	0	0	0	0	0	0	10	4	0	0
first-n-stream	9	3	32	6	0	64	0	0	0	0	0	0	72	0	0	5	20	254	7	57	0	0	65	11	6	14	4	0	0	0	26	2	0	2	4	13	13	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0
geojson-bounds	23	13	52	42	0	79	1	1	0	0	0	1	43	2	0	19	18	387	9	106	0	8	102	7	6	18	28	0	1	10	0	7	1	5	3	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grunt-workflow	199	70	316	281	10	799	2	32	2	0	0	0	278	15	18	58	125	4202	109	919	2	155	1479	14	162	303	112	74	3	10	15	5	2	102	19	174	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
imap-stringify	0	0	4	2	0	5	0	0	0	0	0	0	4	0	0	1	3	16	1	5	0	0	3	2	1	1	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
immutability-helper	17	46	87	37	0	273	0	2	0	0	0	0	147	2	0	10	66	842	7	283	0	5	170	1	165	185	19	0	0	0	0	0	0	7	2	35	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jquery.dragbetter	4	2	11	3	0	16	0	0	0	0	0	0	16	0	0	0	9	67	4	15	0	0	29	0	2	4	0	0	0	0	5	1	0	2	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ndcrop	7	0	10	9	5	6	0	0	0	0	0	0	13	4	0	5	0	98	1	19	0	0	25	0	0	0	2	0	1	5	0	0	0	0	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-gd	101	24	307	156	0	549	20	0	0	0	0	2	394	12	1	3	159	2081	91	655	0	6	496	3	10	26	121	0	0	0	13	69	20	20	12	141	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-kubernetes-client	97	11	248	72	0	386	1	1	0	0	0	0	355	0	0	0	131	1548	82	296	0	28	425	24	25	48	26	0	1	5	48	4	1	56	0	52	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nodep	23	27	146	24	0	334	0	2	0	0	0	0	224	0	0	0	118	1051	26	261	0	9	415	3	16	36	40	0	0	0	54	3	0	11	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
periodic-file-saver	7	0	9	0	0	11	0	0	0	0	0	0	14	0	0	1	6	56	2	10	0	0	21	0	2	3	1	0	0	0	13	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pomelo-cocos2d-js	805	42	681	948	36	724	3	46	8	5	0	5	960	50	7	95	194	6614	412	1510	0	167	1580	75	75	84	310	8	13	83	268	45	3	280	88	414	461	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
qstart	289	45	370	377	4	427	6	32	3	0	0	0	461	23	10	32	94	3240	172	785	0	94	1034	21	88	286	96	0	2	11	103	5	6	83	37	56	176	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
redux-fractal	0	0	7	0	0	8	1	0	0	0	0	0	3	0	0	3	0	50	0	8	0	0	7	0	6	9	5	0	2	4	0	0	1	0	0	3	3	0	0	0	0	2	0	0	0	5	2	0	0	0	0	0	0
s.js	101	87	406	178	0	630	4	34	1	0	0	0	319	21	4	44	288	2737	62	822	0	56	634	28	75	188	205	30	2	12	116	18	4	100	22	195	254	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s3-public-url	1	0	5	9	0	15	0	1	0	0	0	0	5	0	0	1	4	64	0	25	0	1	12	0	2	6	4	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
three-line-2d	44	15	37	49	0	87	0	4	0	0	0	0	98	0	0	6	11	683	19	222	0	11	210	28	44	96	10	0	0	0	17	0	0	21	14	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tree-stringify	15	4	32	11	0	90	0	5	0	0	0	0	30	0	0	6	13	280	9	58	0	5	65	0	2	2	11	0	0	0	0	0	0	2	0	24	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uup	30	9	90	58	0	180	0	2	0	0	0	0	121	0	2	13	40	960	28	173	0	18	334	1	43	61	18	0	0	0	28	0	0	12	0	72	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@naturalatlashummus	58	54	184	256	0	1167	0	3	0	0	0	0	492	10	0	12	146	2990	18	1626	0	0	1195	29	55	117	13	0	0	0	48	1	0	8	14	244	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@pearson-componentsnpm-scripts	0	1	5	0	0	4	0	0	0	0	0	0	1	0	0	0	2	16	2	4	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@tradletransport-p2p	3	3	31	12	0	46	0	1	0	0	0	0	26	2	0	9	19	242	2	29	0	2	74	4	9	16	13	0	0	0	6	0	0	0	6	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
angular-alert-provider	13	18	47	22	0	64	0	0	0	0	0	0	63	2	0	0	43	364	2	118	0	2	111	2	34	68	8	0	0	0	2	2	0	2	2	27	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
array-exclude	3	15	12	10	0	35	0	0	0	0	0	0	29	0	0	0	11	157	3	93	0	0	60	1	0	0	3	0	0	0	0	0	0	4	1	9	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
choppa	6	5	20	6	0	83	0	1	0	0	0	0	68	0	0	0	16	250	2	95	0	0	116	2	0	0	1	0	0	0	2	0	0	1	0	13	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elixir-helper	10	5	68	217	0	266	3	3	0	0	0	0	98	0	1	16	10	747	29	332	0	7	186	0	0	0	17	0	0	0	7	0	3	19	1	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ember-cli-d3	118	52	340	97	1	1052	0	14	1	0	0	0	343	1	5	35	204	3592	40	933	1	49	1354	10	116	246	171	1	3	11	346	0	0	42	11	304	312	3	0	10	18	106	0	1	0	0	5	5	0	96	41	11	0
except-x	4	5	17	3	0	54	4	1	0	0	0	1	9	0	0	1	7	162	1	33	0	2	65	3	4	15	6	0	0	0	1	3	4	0	0	9	9	0	0	0	0	3	0	0	0	0	0	0	0	15	8	0	0
jquery-typeahead	364	129	615	379	21	1112	2	26	30	0	0	0	923	30	12	1	245	6085	340	1967	0	210	3264	6	226	583	110	1	1	7	727	0	2	237	35	116	229	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0
lazyk-js	28	12	109	46	0	121	0	1	0	0	0	0	41	0	0	28	30	628	34	82	0	1	208	52	5	21	64	0	0	0	87	15	0	27	1	14	14	1	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
lift-it	43	8	64	25	0	75	1	3	0	0	0	0	76	0	0	5	35	456	20	74	0	10	164	14	7	6	12	0	0	0	49	10	1	16	0	20	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m-popup	159	51	150	148	1	351	1	50	0	2	0	0	150	7	2	43	57	2361	53	614	0	70	670	2	132	366	54	61	0	0	16	3	1	67	1	78	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nativescript-carousel	99	1	132	20	10	180	0	10	1	0	0	0	229	3	0	14	88	1377	43	188	0	5	646	24	40	124	45	0	1	10	193	0	0	25	3	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-firefox-find-devices	3	1	17	6	0	34	0	1	0	0	0	0	18	0	0	1	14	133	2	23	0	0	40	3	6	12	9	0	0	0	0	0	0	3	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
npm-expansions	0	0	6	5	0	10	0	0	0	0	0	0	3	0	0	0	6	33	0	7	0	0	12	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oargv	7	16	26	15	0	48	0	3	0	0	0	0	35	0	0	0	16	168	8	83	0	2	34	0	12	22	6	0	0	0	0	0	0	5	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
polygon.clip	48	145	70	35	4	135	0	1	0	1	0	0	114	7	0	9	20	749	22	362	0	10	245	8	1	0	10	3	1	3	19	1	0	15	3	75	85	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
react-dnd-html5-touch-backend	13	0	11	0	0	58	0	0	0	0	0	0	51	0	0	8	1	202	0	42	0	0	92	1	0	0	3	0	0	0	61	0	0	0	0	7	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
rn-push-reminder	10	20	38	16	0	80	0	8	0	0	0	0	28	2	0	12	18	688	14	72	0	12	262	6	58	82	18	0	0	0	20	6	0	14	2	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s9s-cloudlink	94	121	566	43	15	393	0	0	0	0	0	0	364	1	10	1	183	3247	131	729	0	45	849	194	268	678	181	0	6	33	196	42	0	16	0	97	97	0	0	0	77	193	0	0	11	0	233	2	0	21	11	0	0
smartmenus-keyboard	18	3	60	39	6	140	0	3	0	0	0	0	44	0	0	4	7	450	42	162	0	50	240	0	3	2	9	0	1	4	7	0	0	27	0	10	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
umod	5	4	18	1	0	46	1	0	0	0	0	0	27	0	0	0	13	173	1	33	0	0	63	2	10	10	8	0	0	0	17	1	1	1	0	12	13	0	0	0	0	3	1	1	0	16	0	0	2	1	1	0	0
webrtc-adapter	1362	312	2503	1430	71	3274	5	105	1	0	0	0	2855	49	1	11	1401	19684	947	3650	0	651	7855	226	507	1045	789	4	24	94	654	48	5	519	75	1121	1130	3	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
xcouch	107	11	264	100	3	564	0	4	0	0	0	0	465	0	0	22	202	2243	147	279	0	23	779	7	24	17	114	0	1	3	140	7	0	42	0	60	80	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yql-weather-location	10	0	33	8	0	54	0	2	0	0	0	1	44	0	0	1	25	225	8	33	0	3	72	5	6	6	3	0	0	0	0	5	0	5	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@fempty-element	2	0	3	0	0	5	0	0	0	0	0	0	6	0	0	1	1	32	0	3	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biojs-vis-example	1	2	7	5	0	17	0	0	0	0	0	0	3	1	0	0	6	70	1	13	0	0	28	1	1	0	4	0	0	0	0	0	0	1	2	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chem	170	11	165	127	0	220	2	25	2	0	0	0	317	8	4	40	79	1601	42	236	0	18	712	25	13	4	51	0	0	0	247	0	2	20	6	83	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3-render-batch	9	4	26	47	0	96	0	0	0	0	0	1	40	3	5	10	2	392	6	112	0	0	115	0	21	65	1	0	0	0	1	0	0	7	3	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ejs-locals-vadorequest	103	10	210	82	0	338	0	10	0	0	0	0	315	2	5	11	141	1421	46	324	0	13	492	9	44	59	30	0	0	0	42	1	0	24	2	25	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fitbit-client-api	18	0	40	23	0	59	1	5	0	0	0	0	39	0	0	0	24	451	13	81	0	7	109	2	28	67	18	0	0	0	8	0	1	6	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gtest	6	0	1	35	0	4	0	0	0	0	0	0	6	0	0	0	1	130	6	1	0	0	54	0	3	6	1	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hubot-webshot-s3	0	7	1	0	0	7	0	0	0	0	0	0	5	0	0	0	1	27	0	18	0	0	7	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
intl-messageformat-parser	0	3	44	2	0	378	0	0	0	0	0	0	203	0	0	0	44	1051	0	286	0	0	621	0	12	25	1	0	0	0	0	0	0	0	0	46	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
is-arrow-function	2	2	18	7	0	30	0	0	0	0	0	0	18	1	0	0	12	106	3	22	0	3	29	1	1	0	3	0	0	0	0	0	0	3	1	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jsref	5	1	8	7	0	30	0	6	0	0	0	0	9	0	3	6	0	169	9	16	0	11	52	0	2	0	9	0	0	0	0	0	0	7	0	8	11	1	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0
livi18n	89	10	187	52	0	254	5	3	0	0	0	0	209	2	9	1	100	1394	46	208	0	35	380	5	48	62	44	0	0	0	16	2	5	3	4	143	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m8tro-bootstrap	2	20	49	99	0	265	0	0	0	0	0	0	126	0	0	0	13	675	35	313	0	0	270	0	52	92	4	0	0	0	0	0	0	34	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-webcrawler	79	31	230	119	0	423	6	4	1	0	0	0	392	1	0	4	156	2004	52	401	0	30	693	38	75	181	20	0	0	0	27	0	6	21	8	49	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
qq	27	7	92	23	1	112	0	1	0	1	0	1	62	1	2	7	62	555	16	63	0	7	155	2	10	15	47	0	0	0	5	1	0	6	3	34	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rhc	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s3-append	75	28	198	37	0	328	1	0	0	0	0	0	200	1	0	14	136	1597	43	253	0	4	555	79	37	65	119	0	3	9	65	5	1	24	1	109	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
terminate	7	1	97	43	0	158	5	0	0	0	0	0	106	2	1	5	60	541	16	120	0	6	130	4	9	6	10	0	0	0	0	1	5	5	6	23	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uxrocket.tooltip	66	2	66	96	5	124	0	2	0	0	0	0	120	1	0	0	28	835	32	151	0	9	274	3	14	52	8	0	1	5	13	0	0	14	1	38	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wcwidth.js	9	1	23	54	0	103	0	0	0	0	0	0	60	1	0	3	17	286	10	133	0	28	73	0	7	5	13	0	0	0	0	0	0	6	3	6	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
webp-loader	3	0	9	2	0	10	0	0	0	0	0	0	7	0	0	0	2	74	5	16	0	11	27	1	1	9	2	0	0	0	5	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-black-hole	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bootstrap-ax5dialog	173	9	184	96	4	290	0	0	0	0	0	0	335	0	4	0	83	1765	97	386	0	56	697	4	83	173	36	0	0	0	163	0	2	24	0	48	68	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
camel-back-promise	0	0	6	2	0	4	0	0	0	0	0	0	4	0	0	0	3	18	3	4	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cpu-profiler	11	7	45	4	0	87	0	1	0	0	0	1	77	1	0	4	37	329	3	64	0	1	152	0	1	3	8	1	0	0	1	0	0	4	1	14	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3-es-geohashgrid	15	3	19	7	0	26	0	0	0	0	0	0	19	0	0	2	10	152	7	22	0	1	49	0	1	1	17	0	0	0	1	0	0	7	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
daty	8	0	12	2	8	17	0	0	0	0	0	0	9	0	0	0	11	102	1	20	0	0	26	9	0	0	16	0	2	13	25	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
es6-template-strings	59	19	51	53	0	72	2	1	0	0	0	0	78	2	0	0	39	507	16	204	0	4	78	3	24	69	39	0	0	0	0	2	2	2	2	13	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f1-model	0	0	2	0	0	6	0	0	0	0	0	0	6	0	0	0	2	31	0	8	0	0	3	0	5	6	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forge-oauth2	107	16	188	63	0	204	0	1	1	0	0	0	224	1	1	0	113	1100	80	298	0	40	327	17	14	17	31	0	0	0	22	3	0	48	1	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gulp-if	4	4	56	17	0	149	1	1	0	0	0	0	124	1	0	1	46	500	5	83	0	1	134	9	7	13	10	0	0	0	12	1	1	5	9	47	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
is-docker	1	0	9	2	0	6	2	0	0	0	0	0	2	0	0	3	1	17	1	8	0	1	3	0	0	0	6	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lambduh-put-s3-object	6	2	55	5	0	65	0	0	0	0	0	0	55	0	1	0	30	232	15	54	0	0	53	19	12	25	2	0	0	0	0	0	0	5	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perspex	195	74	119	364	1	259	0	25	0	0	0	0	256	14	0	26	59	2060	32	507	0	30	704	15	9	29	51	1	0	0	87	5	0	39	13	85	189	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sails-neo4j	60	13	89	80	1	100	0	2	0	0	0	0	110	0	6	12	30	642	34	195	0	11	102	2	22	41	18	0	0	0	0	3	0	6	1	30	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slab-decomposition	72	193	165	201	1	199	0	2	0	0	0	0	179	21	0	18	12	1357	90	753	0	10	584	10	0	0	43	0	0	0	17	0	0	47	20	110	115	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t-logger	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tilemap	47	20	77	104	2	137	0	2	0	0	0	0	141	4	0	5	45	904	33	206	0	4	378	5	12	14	23	0	0	0	55	0	0	11	4	60	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
to-num	5	0	17	4	0	124	0	6	0	0	0	0	50	0	0	0	12	275	5	79	0	1	128	3	1	1	7	0	0	0	0	0	0	6	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x-ray-phantom	7	0	24	2	0	64	0	0	0	0	0	2	29	0	0	7	16	205	8	27	0	2	46	2	2	0	12	1	0	0	0	1	0	2	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zipper-m	97	0	49	0	0	112	0	0	0	0	0	0	106	0	0	0	43	778	6	32	0	0	331	0	0	0	49	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@fhas-class	1	0	3	2	0	9	0	0	0	0	0	0	4	0	0	2	1	36	1	7	0	0	12	1	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3-jsnext	4117	5700	6624	5663	46	23088	16	608	8	5	0	4	11441	176	61	966	4508	81304	1499	39338	0	591	25639	305	1996	4321	2598	236	6	28	982	10	38	2683	539	2640	5212	224	0	0	2	26	0	0	0	0	0	2	0	43	18	0	0
edid	20	0	97	50	0	313	0	0	0	0	0	0	189	0	0	8	84	892	18	247	0	12	216	28	38	72	19	0	0	0	50	4	0	13	0	22	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
