nomeBiblioteca	AssignmentExpression	ArrayExpression	BlockStatement	BinaryExpression	BreakStatement	CallExpression	CatchClause	ConditionalExpression	ContinueStatement	DoWhileStatement	DebuggerStatement	EmptyStatement	ExpressionStatement	ForStatement	ForInStatement	FunctionDeclaration	FunctionExpression	Identifier	IfStatement	Literal	LabeledStatement	LogicalExpression	MemberExpression	NewExpression	ObjectExpression	Property	ReturnStatement	SequenceExpression	SwitchStatement	SwitchCase	ThisExpression	ThrowStatement	TryStatement	UnaryExpression	UpdateExpression	VariableDeclaration	VariableDeclarator	WhileStatement	WithStatement	ArrayPattern	ObjectPattern	ArrowFunctionExpression	ClassExpression	TaggedTemplateExpression	Super	YieldExpression	AssignmentPattern	RestElement	MethodDefinition	TemplateElement	TemplateLiteral	SpreadElement	ForOfStatement
jetpack-id	1	1	22	9	0	59	0	1	0	0	0	0	29	0	0	2	15	143	5	54	0	2	51	0	15	12	7	0	0	0	0	0	0	2	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jquery-circles-progressbar	53	1	46	169	0	117	0	10	0	0	0	0	61	2	0	2	31	1151	17	251	0	19	568	2	33	107	19	16	0	0	3	2	0	28	8	29	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
modal-js	2572	1502	3196	2302	144	3922	12	569	11	3	0	8	3423	103	19	631	926	29879	1314	8889	4	939	7423	244	554	2355	1589	11	13	185	1519	91	12	867	294	1655	2368	131	0	0	0	15	0	0	4	0	0	0	0	0	0	0	0
ngraph.three	40	1	82	29	0	122	1	2	0	0	0	0	113	2	0	26	23	750	33	83	0	7	225	21	13	27	26	0	0	0	4	0	1	11	3	57	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
postmessage-client-server-r7	8	1	29	5	0	28	2	1	0	0	0	0	22	0	0	2	0	196	10	10	0	3	67	4	6	12	5	0	0	0	0	2	2	1	1	10	12	0	0	0	0	10	0	0	0	0	0	1	0	2	1	1	0
redirect-to-https	1	0	14	3	0	31	0	0	0	0	0	0	24	0	0	0	14	135	7	33	0	1	43	0	7	8	8	0	0	0	0	0	0	1	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respawn	42	25	86	56	0	191	1	7	0	0	0	0	191	0	0	0	75	822	32	229	0	15	304	2	21	48	22	0	0	0	64	0	1	20	12	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
statsd-ducksboard-backend	62	8	64	39	3	88	1	0	1	0	0	0	99	0	7	8	40	694	48	96	0	19	369	10	15	25	50	0	1	3	170	0	1	24	2	37	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transifex	85	7	290	65	0	423	14	1	0	0	0	2	340	2	0	5	177	1699	69	457	0	58	553	9	31	66	49	0	0	0	76	3	14	18	6	53	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bucket-rename-dir	4	0	10	3	0	21	0	1	0	0	0	0	14	0	0	0	7	89	2	12	0	0	20	0	1	0	3	0	0	0	1	0	0	1	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
candybot	41	5	46	27	0	75	0	1	0	0	0	0	73	0	0	23	5	362	15	90	0	10	139	8	3	7	14	1	0	0	26	0	0	2	0	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cazary	1	4	9	5	0	53	0	0	0	0	0	0	10	0	0	0	8	109	1	40	0	0	36	0	8	8	1	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frameguard	7	4	34	8	0	148	0	0	0	0	0	0	79	0	0	2	24	345	8	117	0	2	86	6	32	39	4	0	0	0	1	3	0	4	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ina219	21	0	28	47	0	40	0	2	0	0	0	0	59	0	0	1	25	195	4	62	0	0	61	2	0	0	1	0	0	0	41	0	0	2	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jquery-aslider	74	7	98	65	4	136	0	4	0	0	0	0	146	0	0	1	38	708	46	129	0	2	373	5	17	54	21	0	1	4	175	4	0	5	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jquery-inputevent	12	2	20	10	0	46	0	2	0	0	0	1	32	0	0	2	9	231	11	42	0	7	62	0	4	10	4	1	0	0	8	0	0	5	2	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jsoncomp	11020	756	6878	10754	210	6292	1	203	98	168	0	0	12731	1065	28	1205	616	58934	2800	19457	0	686	11108	420	214	714	1584	70	14	56	784	56	1	934	2563	2618	5705	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
long	252	8	225	434	2	547	0	34	0	0	0	0	322	4	0	14	155	2572	170	590	0	60	793	6	6	4	196	2	0	0	284	10	0	97	2	118	162	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-d3ck-cfg	19	3	31	22	0	63	2	3	0	0	0	2	43	0	2	6	12	338	18	56	0	7	101	1	2	0	9	0	0	0	0	1	2	1	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-prelaunch	40	4	100	34	2	109	0	3	0	0	0	0	101	0	0	7	45	683	35	141	0	13	195	4	41	72	24	0	1	3	5	2	0	6	1	25	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
npm-safe-name	6	1	43	25	0	145	2	6	0	0	0	0	81	0	0	9	16	373	14	153	0	4	102	13	1	2	15	0	0	0	6	5	2	4	0	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
react-component-empty	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	4	10	0	4	0	0	2	0	1	4	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
react-picker	4671	1153	9546	7533	203	11839	60	1874	109	8	0	0	9199	256	265	1285	2768	86696	4146	27880	4	2507	20048	192	3455	11965	2915	8	64	820	2885	35	108	2872	341	7811	7889	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
snmp-native	248	113	523	261	1	950	11	0	0	0	0	0	899	19	1	25	274	4427	130	1760	0	30	1738	122	96	148	66	0	0	0	23	22	11	46	22	230	302	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ts-node-i18n	13	1	44	15	0	104	2	5	0	0	0	0	44	0	0	6	24	313	9	90	0	1	100	0	14	19	10	0	0	0	5	3	2	4	0	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
winston-mail	18	3	22	10	0	34	1	0	0	0	0	0	38	0	0	1	14	249	9	49	0	15	82	3	14	42	4	0	0	0	22	1	1	3	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
array-step	0	7	7	5	0	14	0	1	0	0	0	0	7	1	0	2	2	58	2	24	0	1	13	1	0	0	3	0	0	0	0	0	0	1	1	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
auto-abort	4	0	20	1	0	30	0	0	0	0	0	0	27	0	0	2	17	88	4	13	0	0	17	0	4	4	5	0	0	0	1	0	0	3	0	6	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
blueimp-load-image	4037	415	5069	4250	136	6735	65	546	18	3	0	14	6347	181	71	573	1691	44314	2366	9331	0	1819	12850	383	578	1541	1786	24	38	268	1817	110	65	1438	329	1757	2738	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
brify	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cocoon-rails	1177	133	1577	1208	40	2737	26	182	6	14	0	3	1921	54	16	199	797	16539	832	2762	0	560	6365	119	291	859	853	7	15	57	1555	22	26	363	76	644	912	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
containjs	29	4	66	15	4	77	0	0	0	0	0	1	60	1	0	9	11	363	36	71	0	0	142	8	3	7	22	0	1	3	42	6	0	9	1	15	16	0	0	0	0	14	0	0	0	0	0	1	0	8	3	4	0
durl	22	0	32	23	0	43	0	3	0	0	0	0	42	0	0	2	17	192	10	54	0	6	89	4	7	11	7	0	0	0	37	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
email-validator	1	0	14	3	0	19	1	6	0	0	0	0	12	0	0	2	10	88	5	33	0	0	22	0	0	0	7	0	0	0	0	0	1	2	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
express-timeout-handler	9	0	29	10	0	35	0	1	0	0	0	0	32	0	0	4	6	185	11	31	0	10	53	4	2	0	4	0	0	0	0	4	0	8	0	10	10	0	0	0	0	6	0	0	0	0	0	0	0	5	2	0	0
