counter;index;instructionType;totalChars;OperationType 
0;0;original;1673 
1;3;Property;1663;m 
1;2;ExpressionStatement;1633;m 
1;16;ExpressionStatement;1381;m 
1;3;Property;1371;m 
3;1;Property;1359;m 
3;2;Property;1358;m 
5;1;Property;1346;m 
7;4;Literal;1335;m 
7;2;ExpressionStatement;1319;m 
29;0;ExpressionStatement;1306;m 
