lib,loc,tests,cov
exectimer,228,37,91
jade,358,240,98
jquery,7607,937,91
lodash,11877,2077,94
minimist,235,140,99
node-browserify,755,570,99
plivo-node,928,26,91
tleaf,282,131,96
underscore,1481,198,95
uuid,240,21,91
xml2js,538,83,93
