instance imp sfahc_mean sfahc_sd sfahc_median sfahc_max shc_mean shc_sd shc_median shc_max
browserify 25.4025181228539 25.2483784814956 0.324954896275727 25.4025181228539 25.4025181228539 13.5017169019458 2.86451707269489 14.2006867607783 16.2762304463945
d3-node 26.0011954572624 26.0011954572624 0 26.0011954572624 26.0011954572624 24.2080095636581 0 24.2080095636581 24.2080095636581
decimal.js 14.9800012697606 20.6551964954606 6.28031591653683 18.0306012316678 34.7089073709606 6.43863881658307 2.04848107508349 6.98368357564599 9.221636721478
esprima 3.87510798469702 3.88097001110699 0.00502772905573178 3.88204985807725 3.8859064543996 0.346862273232137 0.113633505179756 0.332438602986551 0.639423670245587
exectimer 26.7598065556153 26.3729177861365 0.499471253675326 26.7598065556153 26.7598065556153 22.8479312197743 0.846515808002401 23.052122514777 23.589468027942
express 15.8869953105341 15.6982729040375 0.304684053751121 15.8641198673224 15.8869953105341 8.5611346219833 1.34721763199808 8.31522360745739 11.2432803385566
jquery 80.1021229615659 80.0549715941762 0.0335946244377598 80.0532465441498 80.1251236285852 20.7890378820986 3.81865200500145 20.0163304735837 27.7687052924535
lodash 1.58957208477718 1.2029575308244 0.255672159033866 1.21585139817874 1.48078007897494 1.20597953098557 0.277764679907074 1.27427673462809 1.55532274961722
mathjs 27.0361929567529 27.7402463508601 0.780258734554167 27.7972217700364 28.932660480764 19.0729285365457 1.27451902212885 19.0379293504802 21.0049378696619
minimist 2.78254895225009 2.78254895225009 0 2.78254895225009 2.78254895225009 1.85159738921333 0.0832845370249302 1.83785640673308 1.95809000343524
moment 7.22913766276309 7.1245188764229 0.351808662609608 7.22913766276309 7.24551633772827 1.55083106238689 0.341018595808454 1.43121632585134 2.32156601693329
node-semver 13.4639524095399 13.4246575342466 0.34178637998954 13.4011897615019 13.7095453801233 4.3519074387382 0.651277190159512 4.11504666266441 5.61043497243902
plivo-node 15.342799188641 15.9229208924949 0.380623577129735 15.9026369168357 16.3813387423935 56.1188811188811 2.95946659425108 55.6228655065864 61.2701252236136
pug 39.3541666666667 39.3541666666667 0 39.3541666666667 39.3541666666667 30.6070087609512 2.19765405996596 31.0909470171047 33.8548185231539
tleaf 65.7955865272938 65.7955865272938 0 65.7955865272938 65.7955865272938 63.7108013937282 0.810908373780765 64.0243902439024 64.0534262485482
UglifyJS2 13.2041077591005 12.2319937660025 4.06777850650382 13.881776689302 13.9443949682734 3.05646777245909 0.575018794214576 3.1434376043638 4.07853723700323
underscore 11.4782501082854 11.4813439762391 0.0032612231711793 11.4813439762391 11.4844378441928 4.62667161961367 1.49206258268059 4.65886577513621 8.02377414561665
uuid 20.8240258128568 21.4296351451973 2.49164450248929 22.1518987341772 23.6286919831224 21.451973194341 1.85729094935083 21.5686274509804 24.3484735666419
xml2js 4.11998554391038 -2.19009757860499 4.39543682728697 -1.15046379954222 2.79484399469944 10.325006063546 5.7897045024873 9.75018190637885 17.608537472714
