counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;15571;Literal;4027;m 
1;17800;Literal;4008;m 
1;1;ArrayExpression;4036;m 
1;4;IfStatement;4013;m 
2;0;CallExpression;3992;c 
3;0;Identifier;3991;c 
3;0;Literal;3990;c 
3;11;IfStatement;3958;m 
4;0;Literal;3956;c 
4;0;IfStatement;3921;c 
5;0;Literal;3919;c 
5;0;ArrayExpression;3923;c 
5;0;ArrayExpression;3928;c 
6;0;ArrayExpression;3932;c 
6;0;IfStatement;3901;c 
7;0;Property;3889;c 
7;0;IfStatement;3874;c 
7;0;ArrayExpression;3878;c 
8;14721;Literal;3860;m 
9;0;CallExpression;3842;c 
9;0;Literal;3840;c 
11;0;Property;3828;c 
15;0;ReturnStatement;3796;c 
16;8541;Literal;3799;m 
25;14550;Literal;3796;m 
27;0;MemberExpression;3792;c 
27;15917;Identifier;3801;m 
41;9158;Literal;3789;m 
46;15128;Literal;3787;m 
46;15917;Identifier;3735;m 
