counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;8326;Literal;4011;m 
1;0;IfStatement;3995;c 
1;27;ReturnStatement;3887;m 
1;0;IfStatement;3868;c 
3;0;ArrayExpression;3875;c 
4;0;CallExpression;3855;c 
4;0;Property;3863;c 
4;0;IfStatement;3804;c 
5;0;VariableDeclaration;3805;c 
5;0;CallExpression;3784;c 
5;15779;Identifier;3767;m 
6;0;ExpressionStatement;3759;c 
6;0;ReturnStatement;3740;c 
7;0;ArrayExpression;3742;c 
8;0;Literal;3733;c 
8;0;ExpressionStatement;3734;c 
9;0;VariableDeclaration;3730;c 
10;0;CallExpression;3714;c 
10;0;Property;3718;c 
11;0;Property;3702;c 
12;0;Property;3706;c 
12;0;Property;3690;c 
14;0;Literal;3677;c 
20;0;Identifier;3679;c 
21;0;Literal;3676;c 
26;4;IfStatement;3668;m 
28;0;Literal;3667;c 
