counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;17800;Literal;4008;m 
1;14425;Literal;4025;m 
1;0;IfStatement;3756;c 
1;0;ArrayExpression;3777;c 
1;0;Property;3744;c 
1;0;ExpressionStatement;3748;c 
3;0;VariableDeclaration;3749;c 
3;10099;Identifier;3654;m 
4;0;ArrayExpression;3675;c 
4;0;ArrayExpression;3661;c 
5;0;Literal;3659;c 
5;0;VariableDeclaration;3636;c 
6;0;ArrayExpression;3654;c 
6;0;VariableDeclaration;3637;c 
6;0;Property;3624;c 
6;0;IfStatement;3636;c 
7;0;Property;3624;c 
8;0;VariableDeclaration;3625;c 
8;0;Property;3612;c 
10;0;VariableDeclaration;3613;c 
10;0;ArrayExpression;3631;c 
14;14431;Literal;3629;m 
17;0;Literal;3627;c 
17;0;IfStatement;3610;c 
18;0;Literal;3608;c 
18;13851;Identifier;3609;m 
19;11;IfStatement;3557;m 
22;0;Literal;3555;c 
23;0;Literal;3553;c 
