Lib imp sfahc_mean sfahc_sd sfahc_median sfahc_max shc_mean shc_sd shc_median shc_max
browserify 26.5619231242565 1.66304303236658 0.0342234952859075 1.63678877630553 1.70652664396767 12.8436641096115 2.91181520033953 13.1845592156541 16.2571276202978
d3-node 29.2912873862159 29.2912873862159 0 29.2912873862159 29.2912873862159 25.4876462938882 0 25.4876462938882 25.4876462938882
decimal.js 7.13308363163932 8.81836274929858 4.38747747157883 7.18318521692259 18.0524649979959 4.42213868118806 1.76658323367813 4.82806518043481 6.77304327394856
esprima 3.99395887244564 4.83612520605218 0.218896822688599 4.90534645927918 4.90534645927918 0.363787615074578 0.10692684048575 0.344724910749094 0.589685265849518
exectimer 22.7782888684453 22.7782888684453 0 22.7782888684453 22.7782888684453 20.6973321067157 0.8462528089656 20.81876724931 21.3983440662373
express 3.36175566116858 7.62335756220296 1.50898261500261 7.98504333240145 8.39740005591278 4.43318423259715 0.674366779718301 4.31227285434722 5.67864131954151
jquery 58.3002063244288 58.9209774584141 1.53759323822851 58.4367571393104 62.5357072533167 17.8090514498358 3.25598824670848 17.2646175007634 25.3790462275162
lodash 2.67701322898283 5.54415314354257 0.862083710458167 5.93485303588196 5.978605524612 0.559122393900215 0.140108730140596 0.579228874676158 0.777221176204545
mathjs 9.78937926681395 22.0907595966978 9.83045338489476 27.7727023570254 30.4345298407056 15.7657425709682 0.949149685632532 15.8119196717772 17.1627659751175
minimist 2.75721956174721 2.72094035698737 0.11472491874069 2.75721956174721 2.75721956174721 1.76462051951821 0.0854972228328185 1.75591351037585 1.91554201131911
moment 7.11167764742502 5.47012220879992 0 5.47012220879992 5.47012220879992 1.45709352048795 0.184477468487185 1.42959839327666 1.85795913527454
node-semver 0.188112344872632 3.15898105813194 1.8893432471547 3.02416721097322 6.80339647289353 4.10267798824298 0.453667994537029 4.13977792292619 4.9666884389288
plivo-node 33.2288128211828 16.7393955230381 4.96264105653927 15.5822663531051 23.4213047643933 55.1755073599861 2.47347338136323 55.4546642278547 58.5010016549081
pug 30.9263367245468 31.4464927713608 0 31.4464927713608 31.4464927713608 23.2976363497284 1.72406185365806 23.9195287998164 26.1301919987761
tleaf 73.8198589256647 73.8198589256647 0 73.8198589256647 73.8198589256647 69.2349430276723 0.625618757693182 69.4519804666305 69.5876288659794
UglifyJS2 12.1388568113679 10.2341026516815 3.88662310717558 10.8978633660253 15.3012485836193 2.74135397860655 0.534530480482687 2.72405922504324 3.71918524903903
underscore 10.005211923536 5.13626658148254 0 5.13626658148254 5.13626658148254 3.77898081675886 1.18739103162303 3.66011533482406 6.55693606146707
uuid 24.3353189016417 22.3071335173616 3.26456339721414 23.3328490483801 24.6549469707976 23.4113032108092 1.95797550535351 23.1730350138021 26.369315705361
xml2js 4.99084862282934 2.32132494085085 0.852865110158828 1.99321458863444 4.58908084460515 9.23485558680416 5.04418986346977 8.64247131824472 15.1734297576001
