trial;counter;index;instructionType;totalChars 
2;301;1471;Identifier;17658 
2;304;1494;Identifier;17656 
2;305;1495;Identifier;17654 
2;306;1497;Identifier;17652 
2;307;1496;Identifier;17650 
2;308;1496;Identifier;17648 
2;309;1495;Identifier;17646 
2;310;1492;Identifier;17644 
2;311;1493;Identifier;17642 
2;318;1554;Identifier;17640 
2;319;1559;Identifier;17638 
2;320;1559;Identifier;17636 
2;321;1557;Identifier;17634 
2;324;1576;Identifier;17632 
2;340;1725;Identifier;17630 
2;344;1755;Identifier;17628 
2;356;1863;Identifier;17626 
2;358;1870;Identifier;17624 
2;364;1920;Identifier;17622 
2;365;1923;Identifier;17620 
3;0;0;original;18323 
3;1;0;ExpressionStatement;18293 
3;8;69;VariableDeclaration;18315 
3;9;65;VariableDeclaration;18327 
3;11;79;VariableDeclaration;18335 
3;13;80;VariableDeclaration;18343 
3;15;90;VariableDeclaration;18346 
3;16;94;VariableDeclaration;18393 
3;17;92;VariableDeclaration;18396 
3;30;17;Identifier;18386 
3;32;23;Identifier;18378 
3;33;22;Identifier;18378 
3;64;322;Identifier;18376 
3;69;366;Identifier;18374 
3;70;362;Identifier;18372 
3;72;379;Identifier;18370 
3;73;373;Identifier;18368 
3;77;409;Identifier;18366 
3;78;407;Identifier;18364 
3;79;406;Identifier;18361 
3;80;407;Identifier;18359 
3;89;486;Identifier;18357 
3;92;504;Identifier;18355 
3;95;525;Identifier;18353 
3;99;550;Identifier;18351 
3;100;551;Identifier;18349 
3;101;550;Identifier;18347 
3;105;586;Identifier;18345 
3;107;591;Identifier;18343 
3;122;735;Identifier;18341 
3;123;737;Identifier;18339 
3;124;735;Identifier;18338 
3;125;736;Identifier;18337 
3;132;799;Identifier;18335 
3;133;795;Identifier;18333 
3;136;812;Identifier;18331 
3;138;826;Identifier;18329 
3;150;937;Identifier;18327 
3;152;946;Identifier;18325 
3;153;941;Identifier;18323 
3;154;949;Identifier;18321 
3;158;970;Identifier;18319 
3;159;971;Identifier;18317 
3;160;971;Identifier;18315 
3;166;1021;Identifier;18313 
