type	count
FunctionExpression	5
IfStatement	34
UnaryExpression	6
ReturnStatement	44
BlockStatement	2
BinaryExpression	8
Identifier	49
ExpressionStatement	36
AssignmentExpression	1
Literal	16
Property	21
MemberExpression	11
VariableDeclaration	41
CallExpression	21
ObjectExpression	7
FunctionDeclaration	4
ArrayExpression	6
ThrowStatement	1
ForStatement	8
EmptyStatement	1
ConditionalExpression	1
VariableDeclarator	1
