counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;30;VariableDeclaration;4025;m 
1;4;IfStatement;4020;m 
1;27;ReturnStatement;3887;m 
1;0;ArrayExpression;3882;c 
1;0;ArrayExpression;3823;c 
1;0;Property;3789;c 
1;0;ExpressionStatement;3785;c 
1;0;ExpressionStatement;3786;c 
1;0;VariableDeclaration;3770;c 
3;0;ExpressionStatement;3759;c 
3;0;IfStatement;3759;c 
3;0;VariableDeclaration;3755;c 
4;0;VariableDeclaration;3766;c 
6;0;VariableDeclaration;3764;c 
20;73;Literal;3766;m 
22;49;ExpressionStatement;3755;m 
30;0;Literal;3757;c 
