counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;140;Literal;4027;m 
1;48;ExpressionStatement;4015;m 
1;25;VariableDeclaration;4027;m 
1;3;IfStatement;3922;m 
1;0;ExpressionStatement;3915;c 
1;0;ArrayExpression;3818;c 
1;0;CallExpression;3791;c 
1;0;ExpressionStatement;3804;c 
1;0;Literal;3802;c 
1;0;CallExpression;3775;c 
1;20;ExpressionStatement;3763;m 
2;0;IfStatement;3746;c 
2;0;VariableDeclaration;3737;c 
3;0;VariableDeclaration;3718;c 
11;2;Property;3706;m 
28;22;VariableDeclaration;3700;m 
37;1;IfStatement;3687;m 
37;10;IfStatement;3676;m 
41;31;ReturnStatement;3671;m 
46;86;BinaryExpression;3661;m 
52;70;CallExpression;3643;m 
55;30;ReturnStatement;3610;m 
73;53;Literal;3608;m 
75;0;IfStatement;3589;c 
