counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;28;VariableDeclaration;4014;m 
1;10;IfStatement;4009;m 
1;5;IfStatement;3975;m 
1;0;CallExpression;3961;c 
1;0;ArrayExpression;3967;c 
1;0;IfStatement;3929;c 
1;0;VariableDeclaration;3949;c 
1;0;CallExpression;3928;c 
1;0;CallExpression;3894;c 
1;0;VariableDeclaration;3908;c 
2;0;VariableDeclaration;3900;c 
2;0;CallExpression;3879;c 
2;0;IfStatement;3844;c 
3;0;CallExpression;3823;c 
3;0;ExpressionStatement;3836;c 
3;0;ExpressionStatement;3815;c 
5;2;IfStatement;3797;m 
10;23;VariableDeclaration;3794;m 
16;53;Literal;3792;m 
45;0;IfStatement;3776;c 
71;43;ExpressionStatement;3768;m 
72;14;VariableDeclarator;3723;m 
