counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;11;VariableDeclaration;4019;m 
1;22;VariableDeclaration;3912;m 
1;0;IfStatement;3882;c 
1;0;ArrayExpression;3892;c 
1;0;BinaryExpression;3916;c 
1;0;BinaryExpression;3873;c 
2;0;IfStatement;3852;c 
2;0;CallExpression;3838;c 
2;0;CallExpression;3850;c 
2;0;IfStatement;3837;c 
2;0;CallExpression;3767;c 
2;0;IfStatement;3741;c 
3;0;VariableDeclaration;3731;c 
3;0;VariableDeclaration;3721;c 
4;8;Literal;3719;m 
11;0;ExpressionStatement;3711;c 
30;2;Property;3699;m 
43;7;IfStatement;3681;m 
49;5;IfStatement;3636;m 
65;0;IfStatement;3618;c 
85;30;VariableDeclaration;3611;m 
91;4;IfStatement;3602;m 
99;39;ExpressionStatement;3593;m 
