counter;index;instructionType;totalChars;OperationType 
0;0;original;2911 
1;13695;Identifier;2909;m 
11;9605;Identifier;2907;m 
15;295;Literal;2892;m 
49;8408;Literal;2890;m 
81;17161;Literal;2890;m 
