counter;index;instructionType;totalChars;OperationType 
0;0;original;1673 
1;2;Property;1660;m 
1;7;IfStatement;1552;m 
1;5;Literal;1541;m 
1;1;Property;1540;m 
1;2;Property;1539;m 
1;6;IfStatement;1424;m 
3;2;ExpressionStatement;1397;m 
3;1;Property;1412;m 
5;2;Property;1399;m 
11;0;ExpressionStatement;1386;m 
