type	count
BinaryExpression	18
IfStatement	102
Identifier	135
ReturnStatement	119
FunctionExpression	7
LogicalExpression	2
ThisExpression	3
Literal	73
BlockStatement	5
UnaryExpression	3
ExpressionStatement	55
MemberExpression	19
Property	13
ArrayExpression	27
ObjectExpression	26
VariableDeclaration	101
CallExpression	41
TryStatement	3
WhileStatement	6
FunctionDeclaration	9
VariableDeclarator	3
ThrowStatement	1
ForStatement	3
UpdateExpression	7
